"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Апи тесты общей коллекции покемонов.","","","0","0","2","0","0"
"АПИ тесты коллекции конкретных покемонов.","","","0","0","3","0","0"
