"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 20:15:14 GMT 2023","Sat Apr 08 20:15:17 GMT 2023","3192","","cases.TestAPI","","cases.TestAPI","testPokeApi002","Проверка пагинации. Проверка наличия Имен в коллекции results",""
"passed","Sat Apr 08 20:15:14 GMT 2023","Sat Apr 08 20:15:17 GMT 2023","3490","","cases.TestAPI","","cases.TestAPI","testPokeApi001","Проверка наличия у Rattata способности run-away, а у Pidgeotto её отсутствия, а так же того что weight Rattata меньше чем у Pidgeotto.",""
