"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"АПИ тесты коллекции конкретных покемонов.","","","0","0","3","0","0"
"Апи тесты общей коллекции покемонов.","","","0","0","2","0","0"
